IdJogador,NomeJogador,MediaAces,MediaDuplaFalta,PctPrimeiroServico,PctPontosPrimeiroServico,PctPontosSegundoServico,ClassificacaoSaque,PctGamesSaqueGanhos,Rank,Id
MP20,Alexandre Muller,3.5,1.9,64.5,67.8,50.1,259.2,75.2,,
KE73,Dominik Koepfer,4.3,3.1,61.9,67.8,51.3,259.1,76.9,,
D0CG,Facundo Diaz Acosta,2.7,3.0,64.4,66.7,52.2,258.9,75.9,,
A0FC,Matteo Arnaldi,7.3,3.4,56.5,70.8,49.3,256.8,76.3,,
ME82,Adrian Mannarino,4.6,2.4,59.3,67.8,51.0,254.8,74.5,,
S0H2,Alexander Shevchenko,5.7,2.7,59.6,68.5,49.0,254.1,74.0,,
DA81,Taro Daniel,4.2,2.0,60.5,67.5,49.2,253.6,74.2,,
MU94,Jaume Munar,3.5,3.7,64.4,67.8,46.7,251.1,72.4,,
GB88,David Goffin,5.1,3.3,59.4,69.3,47.2,250.9,73.2,,
MO44,Pedro Martinez,2.4,4.1,68.7,65.5,46.2,250.6,71.9,,
V812,Botic van de Zandschulp,4.7,3.9,61.2,69.9,44.3,248.6,72.4,,
H0BH,Rinky Hijikata,4.3,3.1,58.7,68.9,47.1,248.4,72.5,,
N0BS,Mariano Navone,2.5,2.3,65.0,63.4,47.3,243.3,67.4,,
